crop,spi
-0.6516472,1.30303
-0.6516472,1.363636
-0.6516472,1.424242
-0.6516472,1.484848
-0.6516472,1.545455
-0.6516472,1.606061
-0.6516472,1.666667
-0.6516472,1.727273
-0.6516472,1.787879
-0.6516472,1.848485
-0.6516472,1.909091
-0.6516472,1.969697
-0.6516472,2.030303
-0.6516472,2.090909
-0.6516472,2.151515
-0.6516472,2.212121
-0.6516472,2.272727
-0.6516472,2.333333
-0.6516472,2.393939
-0.6516472,2.454545
-0.6516472,2.515152
-0.6516472,2.575758
-0.6516472,2.636364
-0.6516472,2.69697
-0.6516472,2.757576
-0.6516472,2.818182
-0.6516472,2.878788
-0.6516472,2.939394
-0.6516472,3
-0.65164718,-3
-0.65164718,-2.939393939
-0.65164718,-2.878787879
-0.65164718,-2.818181818
-0.65164718,-2.757575758
-0.65164718,-2.696969697
-0.65164718,-2.636363636
-0.65164718,-2.575757576
-0.65164718,-2.515151515
-0.65164718,-2.454545455
-0.6120736,-2.393939
-0.6120736,-2.333333
-0.6120736,-2.272727
-0.6120736,-2.212121
-0.6120736,-2.151515
-0.6120736,-2.090909
-0.6120736,-2.030303
-0.6120736,-1.969697
-0.6120736,-1.909091
-0.6120736,-1.848485
-0.6120736,-1.787879
-0.6120736,-1.727273
-0.6120736,-1.666667
-0.6120736,-1.606061
-0.6120736,-1.545455
-0.6120736,-1.484848
-0.6120736,-1.424242
-0.6120736,-1.363636
-0.6120736,-1.30303
-0.6120736,-1.242424
-0.6120736,-1.181818
-0.6120736,-1.121212
-0.6120736,-1.060606
-0.6120736,-1
-0.6120736,-0.9393939
-0.6120736,-0.8787879
-0.6120736,-0.8181818
-0.6120736,-0.7575758
-0.6120736,-0.6969697
-0.6120736,-0.6363636
-0.6120736,-0.5757576
-0.6120736,-0.5151515
-0.6120736,-0.4545455
-0.6120736,-0.3939394
-0.6120736,-0.3333333
-0.6120736,-0.2727273
-0.6120736,-0.2121212
-0.6120736,-0.1515152
-0.6120736,-0.09090909
-0.6120736,-0.03030303
-0.6120736,0.03030303
-0.6120736,0.09090909
-0.6120736,0.1515152
-0.6120736,0.2121212
-0.6120736,0.2727273
-0.6120736,0.3333333
-0.6120736,0.3939394
-0.6120736,0.4545455
-0.6120736,0.5151515
-0.6120736,0.5757576
-0.6120736,0.6363636
-0.6120736,0.6969697
-0.6120736,0.7575758
-0.6120736,0.8181818
-0.6120736,0.8787879
-0.6120736,0.9393939
-0.6120736,1
-0.6120736,1.060606
-0.6120736,1.121212
-0.6120736,1.181818
-0.6120736,1.242424
-0.6120736,1.30303
-0.6120736,1.363636
-0.6120736,1.424242
-0.6120736,1.484848
-0.6120736,1.545455
-0.6120736,1.606061
-0.6120736,1.666667
-0.6120736,1.727273
-0.6120736,1.787879
-0.6120736,1.848485
-0.6120736,1.909091
-0.6120736,1.969697
-0.6120736,2.030303
-0.6120736,2.090909
-0.6120736,2.151515
-0.6120736,2.212121
-0.6120736,2.272727
-0.6120736,2.333333
-0.6120736,2.393939
-0.6120736,2.454545
-0.6120736,2.515152
-0.6120736,2.575758
-0.6120736,2.636364
-0.6120736,2.69697
-0.6120736,2.757576
-0.6120736,2.818182
-0.6120736,2.878788
-0.6120736,2.939394
-0.6120736,3
-0.612073555,-3
-0.612073555,-2.939393939
-0.612073555,-2.878787879
-0.612073555,-2.818181818
-0.612073555,-2.757575758
-0.612073555,-2.696969697
-0.612073555,-2.636363636
-0.612073555,-2.575757576
-0.612073555,-2.515151515
-0.612073555,-2.454545455
-0.5783852,-2.393939
-0.5783852,-2.333333
-0.5783852,-2.272727
-0.5783852,-2.212121
-0.5783852,-2.151515
-0.5783852,-2.090909
-0.5783852,-2.030303
-0.5783852,-1.969697
-0.5783852,-1.909091
-0.5783852,-1.848485
-0.5783852,-1.787879
-0.5783852,-1.727273
-0.5783852,-1.666667
-0.5783852,-1.606061
-0.5783852,-1.545455
-0.5783852,-1.484848
-0.5783852,-1.424242
-0.5783852,-1.363636
-0.5783852,-1.30303
-0.5783852,-1.242424
-0.5783852,-1.181818
-0.5783852,-1.121212
-0.5783852,-1.060606
-0.5783852,-1
-0.5783852,-0.9393939
-0.5783852,-0.8787879
-0.5783852,-0.8181818
-0.5783852,-0.7575758
-0.5783852,-0.6969697
-0.5783852,-0.6363636
-0.5783852,-0.5757576
-0.5783852,-0.5151515
-0.5783852,-0.4545455
-0.5783852,-0.3939394
-0.5783852,-0.3333333
-0.5783852,-0.2727273
-0.5783852,-0.2121212
-0.5783852,-0.1515152
-0.5783852,-0.09090909
-0.5783852,-0.03030303
-0.5783852,0.03030303
-0.5783852,0.09090909
-0.5783852,0.1515152
-0.5783852,0.2121212
-0.5783852,0.2727273
-0.5783852,0.3333333
-0.5783852,0.3939394
-0.5783852,0.4545455
-0.5783852,0.5151515
-0.5783852,0.5757576
-0.5783852,0.6363636
-0.5783852,0.6969697
-0.5783852,0.7575758
-0.5783852,0.8181818
-0.5783852,0.8787879
-0.5783852,0.9393939
-0.5783852,1
-0.5783852,1.060606
